,department_Research & Development,department_Sales,educationfield_Life Sciences,educationfield_Marketing,educationfield_Medical,educationfield_Other,educationfield_Technical Degree,gender_Male,jobrole_Human Resources,jobrole_Laboratory Technician,jobrole_Manager,jobrole_Manufacturing Director,jobrole_Research Director,jobrole_Research Scientist,jobrole_Sales Executive,jobrole_Sales Representative,maritalstatus_Married,maritalstatus_Single,education,joblevel,stockoptionlevel,environmentsatisfaction,worklifebalance,jobsatisfaction,jobinvolvement,performancerating,businesstravel,age,distancefromhome,monthlyincome,numcompaniesworked,percentsalaryhike,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,mean_time,attrition
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,3,2,4,3,3,1,51,6,131160,1,11,1,6,1,0,0,6,0
1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,3,4,2,2,4,2,31,10,41890,0,23,6,3,5,1,4,7,1
2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,4,4,3,2,1,2,3,3,2,32,17,193280,1,15,5,2,5,0,3,6,0
3,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,5,3,3,4,3,4,2,3,0,38,2,83210,3,11,13,5,8,7,5,6,0
4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,2,4,3,1,3,3,1,32,10,23420,4,12,9,2,6,0,4,7,0
5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2,2,1,1,1,3,3,4,1,28,11,58130,2,20,5,2,0,0,0,6,1
6,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3,2,3,1,3,2,3,4,1,29,18,31430,2,22,10,2,0,0,0,6,0
7,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,3,3,0,2,3,4,3,4,1,31,1,20440,0,21,10,2,9,7,8,6,0
8,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,1,2,3,1,3,3,0,25,7,134640,1,13,6,2,6,1,5,6,0
9,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,2,2,2,3,3,4,2,3,1,45,17,79910,0,13,21,2,20,4,10,8,0
10,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,2,3,3,4,3,3,1,36,28,33770,0,12,16,2,15,10,11,6,0
11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,0,4,3,1,3,3,1,55,14,55380,0,17,37,2,36,4,13,8,0
12,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,2,1,2,2,2,3,0,47,1,57620,1,11,10,4,10,9,9,8,1
13,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,3,1,0,4,2,4,3,3,1,28,1,25920,1,14,5,2,5,0,4,5,0
14,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,2,0,3,4,4,3,3,1,37,1,53460,4,11,7,2,5,0,1,6,0
15,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,3,4,4,3,2,3,1,21,3,42130,1,12,3,3,3,1,0,6,0
16,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,1,0,2,2,2,2,3,1,35,7,24380,7,16,10,5,7,6,2,6,0
17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,1,3,1,3,3,1,38,8,68700,1,11,8,5,8,7,7,8,0
18,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4,2,0,3,1,2,3,3,2,26,1,104470,1,18,6,3,6,1,4,7,0
19,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,1,0,1,2,2,2,4,1,50,8,96670,3,23,28,2,10,1,6,5,0
20,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,2,0,3,2,3,3,3,1,53,11,21480,3,11,21,2,5,1,3,7,0
21,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,4,1,0,2,3,3,1,3,1,42,4,89260,1,14,10,4,20,11,6,6,0
22,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,4,1,1,2,2,4,3,3,2,29,16,65130,1,11,10,2,10,0,9,6,0
23,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,4,3,4,3,3,1,37,5,27050,1,11,17,2,17,5,7,7,0
24,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,4,3,4,2,3,1,38,2,44480,9,12,10,3,2,1,2,6,0
